days,optimals,snp,dqnBiggerNet_percent,dqnBiggerNet_weight,dqnBiggerNet_stock,dqnFastBigNet_percent,dqnFastBigNet_weight,dqnFastBigNet_stock,dqnVeryLarge_percent,dqnVeryLarge_weight,dqnVeryLarge_stock
2/2/2011 0:00,0.15813062,0.15813062,0.008515778,10,AMD,0.006891405,1,FRT,0.017481881,10,APA
2/3/2011 0:00,0.141261237,0.141261237,0.007902274,4,CPT,0.027035336,6,SWKS,-0.000351255,10,AEE
2/4/2011 0:00,0.068740408,0.068740408,0.000546386,9,ETR,0,7,KVUE,0.008410415,9,CBOE
2/7/2011 0:00,0.054500008,0.054500008,-0.000666238,1,TRGP,0,7,KVUE,0.004980099,9,CPRT
2/8/2011 0:00,0.061551989,0.061551989,0.006177087,10,DXCM,0,10,ENPH,0.061551989,10,TSLA
2/9/2011 0:00,0.082750299,0.082750299,-0.001165075,10,BMY,0.013333321,10,BLDR,0.021821679,8,PARA
2/10/2011 0:00,0.079499183,0.079499183,0.000431049,6,TSLA,0.013157882,10,BLDR,0.014002718,5,TROW
2/11/2011 0:00,0.075622674,0.075622674,0.003865156,10,AXP,0,7,KVUE,-8.78E-05,9,BKNG
2/14/2011 0:00,0.071320397,0.071320397,0.042270579,10,AMD,0,7,KVUE,0.005017361,9,CRM
2/15/2011 0:00,0.047107678,0.047107678,-0.015916343,10,CE,-0.016779402,6,SWKS,0.013343609,7,VRTX
2/16/2011 0:00,0.100631231,0.100631231,0.045348764,10,AMD,0.042372944,10,BLDR,0.018563737,10,LEN
2/17/2011 0:00,0.134146308,0.134146308,-0.00372448,1,TRGP,0.030373202,8,CME,0.134146308,10,BLDR
2/18/2011 0:00,0.072867075,0.072867075,0.003115262,1,AES,0,5,PANW,0.000367812,6,FRT
2/22/2011 0:00,0.074832946,0.074832946,-0.012232501,7,CMS,0.001790666,2,PM,-0.032475306,1,AKAM
2/23/2011 0:00,0.150444788,0.150444788,0.0065453,10,ED,-0.068000031,10,BLDR,-0.068000031,3,BLDR
2/24/2011 0:00,0.085330658,0.085330658,0.000639769,4,NUE,0.004700172,1,PH,-0.025664979,2,CB
2/25/2011 0:00,0.081755578,0.081755578,0.016343754,7,MTD,-0.002985901,8,UPS,0.047936104,9,TSLA
2/28/2011 0:00,0.050119342,0.050119342,0.008972239,1,AES,0.017021363,10,BLDR,0.018411276,4,FMC
3/1/2011 0:00,0.050279349,0.050279349,0,2,VLTO,0,7,KVUE,-0.004529661,1,AKAM
3/2/2011 0:00,0.054200554,0.054200554,0.013645164,10,ALGN,0.021186522,10,BLDR,0.008417487,8,STLD
3/3/2011 0:00,0.077323411,0.077323411,0.046073783,10,FTNT,0.020042003,1,FRT,0.057387805,9,ODFL
3/4/2011 0:00,0.101854757,0.101854757,-0.007053827,10,WBA,0,7,KVUE,0.002680206,6,KDP
3/7/2011 0:00,0.155614796,0.155614796,0,10,ENPH,-0.007218096,3,CINF,-0.014397902,4,GLW
3/8/2011 0:00,0.118072231,0.118072231,0.014711738,8,GD,0.068085146,10,BLDR,0.084097889,10,PHM
3/9/2011 0:00,0.043085181,0.043085181,0.031474965,9,FE,0,7,KVUE,0,6,ENPH
3/10/2011 0:00,0.09930516,0.09930516,-0.015927754,6,HD,-0.011558855,6,SWKS,0,1,GEHC
3/11/2011 0:00,0.086915217,0.086915217,0.02731586,10,AMD,0.003826832,8,L,0.004658314,6,TRGP
3/14/2011 0:00,0.05130956,0.05130956,-0.003381042,9,FE,-0.003135731,2,PM,0,4,HWM
3/15/2011 0:00,0.081682661,0.081682661,0.003269824,10,LRCX,-0.013840847,2,PM,-0.012903214,9,TSLA
3/16/2011 0:00,0.031163489,0.031163489,0,6,MRNA,-0.033036877,10,UAL,-0.031933187,9,BLK
3/17/2011 0:00,0.047533149,0.047533149,0.0033278,4,KMI,0.017121022,1,KLAC,0.000972785,7,BBY
3/18/2011 0:00,0.096710545,0.096710545,0.020506644,10,FTNT,0,10,ENPH,0.055359279,7,AAL
3/21/2011 0:00,0.068965556,0.068965556,0.026589631,10,TAP,0.068965556,10,BLDR,0.007932291,9,ADI
3/22/2011 0:00,0.045269268,0.045269268,-0.00296296,2,STX,0,10,ENPH,0,1,GEHC
3/23/2011 0:00,0.108821946,0.108821946,-0.002716715,9,FE,-0.005968082,8,UPS,0.036414599,10,PHM
3/24/2011 0:00,0.083883164,0.083883164,0,2,VLTO,0.036410888,6,SWKS,0.058385171,9,CRM
3/25/2011 0:00,0.053691275,0.053691275,0.011137657,1,AES,-0.006945866,2,NTAP,0.007558418,3,WRB
3/28/2011 0:00,0.121561899,0.121561899,-0.01033187,5,WFC,0.011406833,10,BLDR,0,9,ENPH
3/29/2011 0:00,0.090623922,0.090623922,0.052596071,10,DXCM,0.018796974,10,BLDR,-0.002096484,10,STX
3/30/2011 0:00,0.0661662,0.0661662,0.014635248,10,CE,0.029520267,10,BLDR,0.000931771,10,CPRT
3/31/2011 0:00,0.170391994,0.170391994,0.170391994,9,TSLA,-0.001065444,2,PM,0.170391994,9,TSLA
4/1/2011 0:00,0.092492317,0.092492317,0.048324741,10,DXCM,0,10,ENPH,0.016951091,4,MLM
4/4/2011 0:00,0.066666689,0.066666689,0.005235579,2,BAC,-0.020985686,6,SWKS,0.021220138,9,STLD
4/5/2011 0:00,0.078947373,0.078947373,-0.00456506,6,MDT,-0.006182658,8,L,0,3,CARR
4/6/2011 0:00,0.049361232,0.049361232,0.039457542,10,AMD,-0.009301488,10,NEM,-0.016316203,9,CRM
